"q1-1";"q1-2";"q1-3";"omegaC1";"omegaC2";"omegaT1";"omegaT2";"alphaV";"rho1-4";"tau";"rho2";"theta";"epsA"
0,0706583265057025;0,391353737677468;0,172692385416331;-0,725469772267313;0,885678806591376;-0,174128268180594;0,0187000624480364;0,0200204301156623;0,877286675615446;0,181902768963959;0,234164998282484;0,993408834637685;0,060428358819679
0,10367316204309;0,591910488344707;0,190714514863816;-0,954749047281279;1,07757038997325;-0,340826211299409;0,0914663464355206;0,00845154485387889;0,560421008526796;0,188468750235119;0,377787739700579;0,989097398773534;0,0357843323395847
0,143348481448032;0,518131373847729;0,149169692183529;-1,12424937326077;1,15173887508856;-0,229411941322458;0,067875111956818;0,00537174512999345;0,948959616180875;0,178194021973878;0,489762215905102;0,994983293302401;0,0251836863373652
0,142764434897999;0,838963953781152;0,181119437035583;-1,21071996291855;1,63124762075542;-0,224028658677325;-0,0615365378060665;0,00330903831292106;0,597353946378163;0,23582804142891;0,569713984049453;0,995598100849827;0,0176224397202134
0,143904365183831;0,824402168776834;0,196293536576016;-1,59820281660912;1,35916459499028;-0,225651468751114;-0,0172601938487328;0,00302384566166689;0,753056436981496;0,204541161929022;0,325784510142751;0,991204754470593;0,0303576305730035
0,0910234086844646;0,480580368420411;0,169267233240096;-0,986415878307172;1,05609405427059;-0,337700223790692;0,069158592809968;0,0135367609337229;0,628002347627386;0,219371050632775;0,281649940461235;0,978105577589546;0,0234628326213325
0,0833571372539918;0,376998034767727;0,16815500176589;-0,797830249564989;0,758859042695328;-0,267038379601063;0,0805904928009585;0,0188446163115737;0,918245349542109;0,157724749464637;0,204054273323508;0,962817230799967;0,0130340311392628
0,0994899997437715;0,741655349217627;0,165937732980206;-1,04658762070111;1,30547782632797;-0,269154373009323;0,121780988446601;0,0086383234504689;0,322874861401612;0,214146915671234;0,53257104304438;0,943939536426076;0,0293446257524914
0,115019163702707;0,454276802968501;0,163098915706807;-0,850519456258286;0,986512646735555;-0,393708923826807;0,139543809751453;0,00784079425783589;0,715865375358747;0,162856662829914;0,664701442831896;0,978152874278249;0,0376346255057109
0,13284957301636;0,525684389034254;0,16854727433583;-0,938740865808057;0,989844279915876;-0,336645240722303;0,0184667415860787;0,00630567255282133;0,715918852426211;0,191562779629643;0,522310579420786;0,99326742727246;0,0227157852946311
0,0931284243126086;0,668384611679733;0,19343126562186;-1,15066992205628;1,19423712426516;-0,361290446436577;0,0417738560431305;0,00698008634637352;0,603714896618214;0,196181968899247;0,355674040909455;0,982442249284332;0,0738376276548718
0,124227299031567;0,796820451615708;0,2082648831643;-1,65835532982097;1,3781740864887;-0,41229231543478;0,304533992379314;0,00438670541253358;0,607324937683194;0,195106072563855;0,323327510770964;0,996326768868207;0,0362999177277921
0,0658526417985612;0,545554096965719;0,182183350378421;-1,07807674953514;1,38684804271807;-0,253044398680691;0,102480722062113;0,0177899031416522;0,525448258549814;0,198098930090837;0,229510821509249;0,988427601932524;0,0448951255413987
0,0877620678635065;0,946205785533354;0,178227445971068;-1,6156473173682;1,52999994827167;-0,386841968222203;0,234672320223886;0,00728972438676627;0,256620087869622;0,201576736530834;0,775149904032149;0,997082081269615;0,0294197043817138
0,104258144654307;0,560312269412068;0,182887841545272;-0,924182649107808;1,18006079994796;-0,219946380363171;0,0152191845170784;0,00800529118468863;0,599554474593537;0,164480800358325;0,53958367463374;0,991497270423655;0,0444179965014151
0,0947045779683959;0,51378384393334;0,178733572027186;-1,04343528829317;1,09871578508489;-0,28449138361894;0,0967377768949093;0,0119237494567283;0,514750825331408;0,240054504665237;0,366171594081878;0,98771026081431;0,0163095064883554
0,0781456605276895;0,812447574732082;0,188878117759198;-1,32042930094274;1,57654154108589;-0,315730760518788;0,171325812846008;0,00901776596530321;0,238384477013634;0,214634325892526;0,808519045343013;0,996301427182538;0,0503557314012954
0,101900036325802;0,871328948129719;0,194410039648846;-1,68329407444664;1,70741950531204;-0,365225650440214;0,0899927635643933;0,0055680185044477;0,394463143126556;0,221144472129401;0,629772065897282;0,970201516198249;0,0504142287818061
0,130483936800037;0,643379768960417;0,162827480627713;-1,23490430072322;1,32835250452686;-0,283876221535072;0,0390907694753832;0,00496663168381878;0,569749362470252;0,175398280887469;0,893081757213957;0,953210231159953;0,0264789760802928
0,0751885300353956;0,477304636987982;0,181837638116964;-0,668714964747137;0,940455135697938;-0,311246909787575;0,11215055384704;0,0167610015440108;0,53391394517878;0,171771603755825;0,315512819363497;0,989422361085917;0,0393311516535396
0,101557399129913;0,476010454914257;0,194298120396799;-0,8644611104656;0,858505731906628;-0,317853551388001;0,193994778401961;0,0107335010334423;0,839506366601632;0,162881045354186;0,210770022644931;0,96244721293306;0,0244541858355837
0,146069041114098;0,640038112996753;0,171911472436291;-1,15382836637476;1,18247502559946;-0,395923478727057;-0,0217623678746232;0,00389606873449546;0,686369223334206;0,192843804332473;0,820385513032527;0,921483515379049;0,0308430726817018
0,101427933036834;0,44544839864939;0,169362388298339;-0,781734104200905;0,583478778260561;-0,423011315057623;-0,0402612253815249;0,00968044053769007;0,637944139180451;0,152053958309955;0,738322892513709;0,958653465909977;0,051150320854832
0,0899605998728374;0,81916885505847;0,20707937133827;-1,40184218103496;1,51690104282091;-0,481156300026524;0,251204443043457;0,00788532423096178;0,363291625024024;0,242150282755914;0,374158405316515;0,964154388532457;0,0436863040705639
0,090642831700594;0,547215661557628;0,172023980460359;-0,914276125683184;0,933720102816201;-0,427316989891186;0,325483664861355;0,0107219295393447;0,487085247352132;0,19804654388167;0,498109843083187;0,992071863348493;0,0425250867197303
0,0813644439626081;0,474382647434158;0,18145104158923;-0,993703418543565;0,888294554320076;-0,192439842570984;0,0102701909239479;0,0149184171128821;0,614182176596943;0,194915161041961;0,281206309727371;0,994264905385814;0,033410749701754
